student_id,hours_studied,attendance,assignments_completed,sleep_hours,social_media_time,final_score
1,3.745401188473625,,0,7.509598614694864,2.160707560960988,33.023777332406524
2,9.50714306409916,59.22559977993558,19,6.724484159664939,4.51827926494692,93.75692943321827
3,7.319939418114051,,2,6.072126511582668,1.354612256595666,67.22086451020888
4,5.986584841970366,83.16403184289092,12,7.69096482102432,1.6242387749099707,79.90036126539658
5,1.5601864044243652,74.10446722622399,6,8.673756983857267,3.4456075630138323,44.72158637377205
6,,86.92855193174469,5,6.114546212128843,0.5538975620579784,49.62131132595334
7,0.5808361216819946,98.06039506114298,5,6.9231638085787885,3.935994288609152,37.65854939429961
8,8.661761457749352,55.827334385759876,1,5.035172021089222,4.74184275079874,47.25333558959208
9,6.011150117432088,85.47838581990305,15,8.287334519936017,3.2157900438580818,78.82268456958481
10,7.080725777960454,61.51720778160573,5,7.567633672328984,0.3611856094180116,67.75942632199904
11,0.20584494295802447,70.72383637037846,7,5.773536198011069,1.1926165434525466,35.514375222778924
12,,51.64313628975699,10,8.37023843773289,0.48754650153403467,92.87823601358436
13,8.324426408004218,56.795369114634944,17,8.85423511735427,1.5454887519211207,85.48007383908136
14,2.1233911067827616,65.98886445244499,5,5.44260004606287,4.697750416012865,24.10619015986193
15,1.8182496720710062,67.09929026439924,13,4.933147556615792,1.7960324255564208,50.19326689300896
16,1.8340450985343382,94.9792608231048,14,8.159460847922064,0.9218243798568942,61.67112777898388
17,3.0424224295953772,87.09064546332576,10,6.912151790041158,3.307841137623238,59.9450691576825
18,5.247564316322379,98.60914840935206,14,8.421841300178912,4.49823911997418,77.95631880811085
19,4.319450186421157,79.95357551676203,12,5.737589459452292,0.17247177006945058,63.63878000472453
20,2.9122914019804194,62.0856866045659,5,6.906270492622404,3.3420953432812066,48.898837669055155
21,6.118528947223795,66.38275149608214,3,6.886059641806906,1.445450642751311,56.52145288606859
22,1.3949386065204183,,13,4.941159188868212,1.8703521178201588,50.303066361427526
23,2.9214464853521815,66.32471638316258,12,8.95965848301556,1.1862283143766494,61.728293459449446
24,3.663618432936917,83.64820865559079,9,7.320296465437872,4.530456849304578,62.124053099646936
25,4.56069984217036,76.5403964045208,11,7.320726767403789,4.430110967959044,65.14015241655443
26,7.851759613930136,69.27120890433221,7,5.484348198007023,3.024003744280024,66.94118682822963
