id,student_id,hours_studied,sleep_hours,social_media_time,tasks_completed,final_score
6253,6253,5.304439199140128,6.14883018702939,2.698560732357421,53,50.68531967688246
4685,4685,4.531875699670036,7.084136265315073,2.499272236322497,59,48.804984598315606
1732,1732,4.64846335063243,6.630173305258461,2.605282564039734,65,58.41556172913389
4743,4743,5.505381185892146,6.4305059605778645,2.296433360518899,46,49.9791022149143
4522,4522,4.384896322225142,6.346569602579649,2.829459157298172,60,47.285784835654844
6341,6341,4.911982503129921,6.400277015708652,2.855017126900001,52,51.70439860363874
577,577,5.223635882855716,6.47113105264407,2.496986129802776,47,54.37574617144585
5203,5203,4.295574947082314,6.211656311449151,2.456503208298457,72,55.2348916031424
6364,6364,5.577625919168809,6.774494900083955,2.166066912232463,59,66.9033014605954
440,440,4.418687921379983,6.714986383329678,2.03015979823689,77,54.50306109093284
2751,2751,4.6022352776083775,6.822641660479755,2.69672922274206,54,46.113693775035
7488,7488,4.255270090592849,6.661737217342662,2.181519151640209,60,55.89575923838522
5273,5273,4.6640526140576615,6.488553020080362,2.846302252233922,57,50.25671583295525
5654,5654,4.897813037853959,6.361108116876149,3.141340655164101,61,44.245829304512384
4000,4000,5.035654080058653,6.39290058474157,2.218931584930554,50,50.125673015221295
6034,6034,5.146489109790135,6.508572683866839,2.7388426991842407,53,50.06535628197511
583,583,5.91701617970973,6.351023227226495,2.2910760622192456,62,60.19654630906472
9931,9931,5.248172108424122,5.795124763020584,2.6079569863204024,67,58.16396244687649
7052,7052,5.365690523520383,6.3429787204995325,2.4353078778969337,47,57.55788047820352
8159,8159,4.930645722512172,6.5844701214146095,2.63664635642972,64,55.76158782443721
9897,9897,4.7235162717229855,6.515127116940128,2.437120693865654,66,59.92210364206949
2250,2250,3.943980227696935,6.190769842489156,2.284838280962365,55,40.15681753909213
4641,4641,4.766072035068432,6.681616225686469,2.18241469760194,55,42.52618744996211
9486,9486,5.120102880157007,6.404375411842981,2.0987146185359844,53,58.31858350911008
4948,4948,5.287773639929827,6.580319224841806,2.560044233445237,52,51.48580632438791
9921,9921,5.397559171373337,6.777058103996279,2.385191723958958,51,52.165377837771125
1964,1964,4.410699557272305,6.757381671050415,2.834144289751124,61,47.85613563875939
8244,8244,6.070259901487955,6.990825603825586,2.176853267828241,64,67.0519616453223
6591,6591,4.570572064034392,6.270766273665942,2.870682415909703,60,48.92912814102411
8848,8848,5.150833219722927,7.0289604695673775,2.0199025478836377,66,59.55545551381438
322,322,5.696192662165289,6.094201791929339,2.571035750103721,57,55.86493358361293
2679,2679,5.648777447136842,5.980337821692955,2.4083283960856137,70,64.84931636760471
4626,4626,4.963393267452999,6.491432576980611,2.5853370097596957,52,55.86620621882714
4950,4950,4.362357431481186,6.813398875565016,1.8065993737009067,71,61.1555269217718
8329,8329,5.967023249885998,6.593797498872427,2.25542596650935,58,58.33305330683356
3338,3338,6.136846870242684,6.314909967474607,2.679321985544509,54,56.10835805119278
