student_id,hours_studied,sleep_hours,social_media_time,tasks_completed,final_score
1,5.241449452305375,6.17904036108843,2.1950813809133694,64,60.264983965063756
2,4.687784353329322,6.531691483067458,2.398182262732287,63,45.58639866055406
3,4.559475504989984,6.888493811102617,2.345658225849745,61,57.58368333334717
4,5.850022534483566,6.87059876782773,2.1476553025620317,69,63.58919404013604
5,5.208697319424487,6.79720691937013,2.406030871178683,60,49.41387425387605
6,5.0359703416896355,6.346254616402449,2.28256134797384,64,59.09879804253412
7,5.418579455474456,6.641690216625121,1.9287549627151146,61,74.57148323094336
8,4.479514329621919,6.294646563363631,3.0027320661106174,71,49.340149187307304
9,5.550544979001189,6.792883597705222,2.3293582073377643,53,55.73746476333026
10,3.876465663921881,6.168449501063606,2.716059715596862,62,40.014871531154164
11,4.927805110451871,6.365597141231785,2.1443906510979422,74,59.64458282094983
12,4.712765332446996,6.423166462187173,2.697214499069152,48,46.98126298802121
13,4.851946655383425,6.22027608417772,2.720232928908409,67,58.30064217900346
14,5.21466032701771,6.2290111871538745,2.4843765506766293,60,51.113890667609944
15,4.185726072921831,6.066523495485797,2.564259757697378,71,44.84776720229036
16,4.8601726676324235,6.669893944429357,2.89777963209798,64,58.1230927895359
17,4.795736285775494,6.482611106099536,2.1699042667306494,65,63.70002693792086
18,5.48784401556115,6.505906782985909,2.2573572042370214,72,64.06965113703686
19,5.6537206390338826,6.382532000563533,2.6476508493624027,58,58.45359298518176
20,4.505163786426804,6.3219127236630035,2.411418342791101,52,49.554754421137005
21,5.973055762021759,6.291180198969302,2.479815799373858,73,56.81026238067522
22,5.433095035922971,6.134649231298903,2.540124014882281,57,51.8393023487267
23,6.150890354196565,6.233613222106148,2.5267871745853983,58,62.41117464036488
24,4.710029870808077,5.848017843855416,2.3285245758924025,61,49.55280876465279
25,4.078618270417377,6.622321312420753,2.7740172747144594,77,69.53881188666831
26,4.8426551103889945,6.615620602338118,2.8886104637456826,53,50.709206259748505
27,5.15180285089489,6.608468614254014,3.002852066132108,73,54.38308097409847
28,5.472189803501075,6.8876662595954405,2.545414660549338,54,50.193242033794704
29,4.9353896267106325,6.692612608078899,2.3937596630757048,66,59.03014856504099
30,5.452093979501004,6.383605922453346,2.2211945059547706,58,53.94950049156321
31,4.478275753865746,6.421436131937778,2.9428856938612062,63,48.75597990651178
32,5.009599102200554,5.917908228602332,2.68806901429775,47,40.360093001243854
33,5.165841363536052,6.744944234177515,2.7978427052848924,59,51.61033557480006
34,5.061515149720092,6.2917249080525295,2.6167136289933333,60,51.78239070634857
35,6.06192711441923,6.414204377686749,2.4770166956447475,66,60.15389711218008
36,5.429297633889537,6.496420940928797,2.6761368798581815,56,61.32581701171524
37,5.152423867377085,6.798030989832899,2.340727116983724,67,57.652953090873524
38,5.044530088306332,6.3993620907524695,2.4113913748798805,57,60.40027146657925
39,5.368482767180773,6.21934608298831,2.7528271116831062,62,57.2422082333483
40,5.399647873242884,6.888311904648548,2.458499091500104,55,54.123999360529346
41,4.522842308980617,6.094892894813981,2.1931262084545144,60,47.36138774547385
42,4.653158616558129,6.475739015469757,2.739360988536325,51,45.836351143373626
43,4.840659376684789,6.518247985056354,2.4571818875039146,62,48.76119816131386
44,5.031018949766609,6.766194042813709,2.4096155824143883,69,57.78199187114183
45,4.718631118026658,6.463686873690648,2.2277134094332536,62,61.1554083476805
46,5.4231409099408205,6.309263079408464,2.836957985761433,69,53.581150048724496
47,3.484145595148454,6.658815750314814,2.2065354942136874,53,47.804579351683394
48,4.967237064040865,6.81274042028119,2.900648959156484,68,65.0953970303836
49,4.153884099778244,6.692619927626462,2.4072037105093838,57,45.53226167136712
50,4.770839174741051,6.248022364579106,2.5902674590520425,47,53.75787508981669
51,5.826859738728799,6.192962779728296,2.743164200356046,61,59.14136135214865
52,4.733776366795916,5.676925680156951,2.1818389324251326,56,52.10627617700852
53,4.912825376312018,6.543321499434325,2.9820784822463215,56,49.33108623212713
54,5.104163118290033,6.495451888672724,2.44954652570089,66,57.587208019722006
55,5.112659910758286,6.393226486785556,2.4696160265940157,65,59.63762818000668
56,5.294074274730957,6.909794612667785,2.941257191832889,59,57.974886993131996
57,4.3075202277883475,6.638385197775744,2.306903055394028,50,59.75639238238366
58,5.0833134655760075,6.491106082345433,2.5694696748651062,52,51.64243778915688
59,5.03682116600691,6.692461276239224,2.3949882231290514,53,53.16636464632052
60,6.548961922999319,6.4843519685721445,2.373613432700752,59,66.99547988068495
61,5.7155922311290945,6.504148660416533,1.8273173775117055,57,56.9772213196227
62,6.121922567788981,6.363772921043955,2.570878308687455,50,51.540566263006475
63,5.585725392665569,6.6758144711408836,2.239375625987357,59,55.182053868388934
64,4.330834629342809,6.389175418621769,2.2867240032613174,73,49.66462345950004
65,4.423142158305897,6.628556110338279,2.295380082234558,52,40.799335209237476
66,5.656752448017013,6.797990486460801,2.9457610555673384,51,50.44935130526679
67,5.289219100559578,6.509590445184409,2.601387622009564,53,42.69878921001654
68,5.592568581083445,6.24200246405383,2.343926645001354,43,41.33260028674298
69,4.759974316079845,5.998476707547147,1.986903313115658,56,59.86882195809339
70,4.874922057235088,6.708685496765793,2.8340509099117446,62,50.874808565941976
71,4.6815378677876085,6.793883015729237,2.6811578498993134,63,47.807041777555696
72,4.843931670653747,6.402262961680096,2.7974861204834474,68,62.694606949100795
73,4.518677940442715,6.535927447566072,2.576691473822797,61,51.22767967168701
74,6.43384829964152,6.470018705885157,2.676368198657939,53,53.71116687525566
75,4.570548159581762,6.488366027841394,2.3942566260106615,60,51.09094735347054
76,5.55593290777148,6.684934424640292,2.19420225922629,73,66.45951045085937
77,4.286515473852743,6.257742441868162,2.7666450911213776,60,62.764535539191996
78,5.3200974029637935,6.536298563415833,2.864621506654277,60,53.31703950185843
79,5.1226923787848895,5.95127343231692,2.6390905554344943,54,51.53858551319388
80,4.75302070626499,5.829548307757125,2.8331893341603123,57,48.631780664621175
81,3.722370415173748,6.121510648382087,2.8449677812231204,57,49.879672809798485
82,4.956501261042538,6.321317134757762,2.423821467363821,52,45.04194724621989
83,4.44216565993131,6.49217060683691,2.7955992094387723,62,57.92468481372778
84,4.8588966265852385,6.423680801678716,2.264765480718314,73,67.95422704213831
85,5.6990610116414775,6.5734369877020615,2.7608495179711405,74,69.99786450234572
86,5.214980999249479,6.23440951994399,2.5787433409263523,59,38.503218709726305
87,5.445201894401063,6.493338572552415,1.959332234985033,53,58.04294660847062
88,5.177874100603137,6.41777660786867,2.544343426982185,58,54.59453130426145
89,4.9857899980661005,6.233986423858627,1.886448777391382,65,67.19497501457062
90,5.3483045139626615,6.320115066562007,2.2728732829729164,62,62.65892522868737
91,5.007350953187412,5.999551617519364,2.332111551796029,52,48.44126363351156
92,5.4444840333302835,6.157271613524082,2.6392474658649294,54,51.69730659031032
93,6.0081561994246915,6.215496186469284,2.5132164441654283,74,70.22432727264267
94,4.947449895457036,6.642986116041324,2.5818195566499673,60,51.80108509113366
95,4.815273848032095,6.37291331912239,2.5388618195790738,53,49.94251481976927
